PESEL_wlasciciela	id_wlasciciela
46011466970	1
46020991650	2
46021119237	3
46021336913	4
46022413514	5
46030620238	6
46032445608	7
46040622156	8
46041442805	9
46043062788	10
46051942290	11
46052305496	12
46052453908	13
46053054085	14
46060377898	15
46061461215	16
46062764959	17
46073182890	18
46080423256	19
46081885932	20
46082065311	21
46082878948	22
46083050756	23
47010202392	24
47011947472	25
47021830810	26
47030589952	27
47031820856	28
47032407216	29
47041487892	30
47050427223	31
47050970431	32
47052186876	33
47052983237	34
47071003349	35
47071280795	36
47082597987	37
47083070698	38
47083087902	39
48010504088	40
48011656289	41
48020465470	42
48020760063	43
48021648814	44
48022170055	45
48031914998	46
48032154528	47
48032754766	48
48040382676	49
48042923877	50
48060489023	51
48070903616	52
48080940272	53
48081892851	54
48082674845	55
49010235558	56
49010739731	57
49012817288	58
49021050432	59
49021619936	60
49031259672	61
49033115660	62
49040370982	63
49041041302	64
49041743211	65
49042572535	66
49051423949	67
49053087255	68
49060428878	69
49060974720	70
49061136860	71
49061817529	72
49070676845	73
49072881500	74
49081575670	75
49082322103	76
49082392869	77
49082653548	78
50020444537	79
50022811333	80
50031383814	81
50031962161	82
50032536884	83
50040474996	84
50042299595	85
50050416519	86
50051480353	87
50051521568	88
50061687492	89
50062002797	90
50062806261	91
50062925171	92
50070184854	93
50071637405	94
51010332135	95
51011724575	96
51012668900	97
51020542232	98
51020720139	99
51022589789	100
51030275258	101
51030558874	102
51031812876	103
51032881974	104
51040359643	105
51041299678	106
51042096137	107
51042472562	108
51042803935	109
51052640610	110
51053111470	111
51060797230	112
51070170625	113
51070327317	114
51070658882	115
51071988775	116
51072078693	117
51081031900	118
51081417069	119
52010124205	120
52011451034	121
52012727116	122
52020266689	123
52020392377	124
52020552034	125
52020642168	126
52020978980	127
52022473704	128
52031822524	129
52032900072	130
52041184472	131
52052985806	132
52062277807	133
52062994373	134
52070570651	135
52071670305	136
52072709095	137
52080329485	138
52081491415	139
52081917351	140
52082959989	141
53010873595	142
53013041854	143
53031682600	144
53032143221	145
53032333871	146
53040550895	147
53040668053	148
53060961790	149
53061133307	150
53061152661	151
53080101927	152
53082056089	153
53082515548	154
54010520609	155
54012409115	156
54020611490	157
54022292433	158
54023009742	159
54030119920	160
54030317106	161
54031873326	162
54032489173	163
54032857200	164
54042703946	165
54050323909	166
54051014059	167
54052490841	168
54060496574	169
54061733382	170
54072239147	171
54081004691	172
55010297573	173
55010760572	174
55022400688	175
55023185319	176
55032120431	177
55032279333	178
55041701362	179
55042474258	180
55050580936	181
55052390957	182
55080281557	183
55081052660	184
55081325955	185
56011138636	186
56021518813	187
56022943739	188
56032295004	189
56041029463	190
56042492334	191
56061135034	192
56070414962	193
56070615011	194
56080747096	195
57011115436	196
57011203957	197
57011431132	198
57011497877	199
57020517254	200
57020604385	201
57020938389	202
57020972316	203
57021247282	204
57022019563	205
57022063289	206
57030730425	207
57030797307	208
57031573494	209
57051324320	210
57052397934	211
57060394750	212
57062976626	213
57072234099	214
57072860959	215
57081290835	216
58020427974	217
58021838845	218
58022615384	219
58023137386	220
58030854177	221
58033066128	222
58041437527	223
58042112180	224
58051001785	225
58051145351	226
58060709470	227
58061266622	228
58070656216	229
58071296547	230
58071789917	231
58072234744	232
58072850731	233
58083146445	234
59010522224	235
59011820550	236
59013009470	237
59020304760	238
59022173641	239
59031732352	240
59032703780	241
59040877488	242
59041592739	243
59042500616	244
59050269271	245
59050332838	246
59070365986	247
59071561510	248
59071769949	249
59072599516	250
59073124764	251
60010277045	252
60010473250	253
60010601249	254
60011168304	255
60012759556	256
60021281905	257
60031387558	258
60031961312	259
60040769196	260
60041619612	261
60043054745	262
60043138429	263
60050201073	264
60050547348	265
60050671713	266
60052703849	267
60052788336	268
60053088817	269
60061267978	270
60061865589	271
60070956944	272
60071127932	273
60072720653	274
60080726065	275
60081464407	276
61012279790	277
61020292846	278
61021810933	279
61022296800	280
61031104103	281
61032006107	282
61032720014	283
61050332084	284
61052704540	285
61052950125	286
61062020490	287
61062963757	288
61080365225	289
61080996814	290
61081265593	291
61081473918	292
61082403572	293
61082948857	294
61083058290	295
62011655277	296
62011695163	297
62011934271	298
62020948331	299
62022868857	300
62031269476	301
62040589086	302
62051358846	303
62051903961	304
62051920018	305
62052709603	306
62052849084	307
62062945583	308
62062960669	309
62071578176	310
62071711090	311
62072015643	312
62072253999	313
63010709806	314
63010758879	315
63020259210	316
63020938526	317
63022684906	318
63041309329	319
63041987576	320
63043100652	321
63051498118	322
63052589877	323
63052636623	324
63061111360	325
63061649331	326
63062873269	327
63062948422	328
63070107099	329
63072544100	330
63072656867	331
63082017070	332
63082096806	333
63082755819	334
63083100472	335
64010345124	336
64012022764	337
64012826252	338
64021933695	339
64030181212	340
64030292084	341
64032113198	342
64032309553	343
64032447178	344
64040392662	345
64042228989	346
64051797696	347
64052767917	348
64060788139	349
64061711864	350
64062775711	351
64071032276	352
64071194501	353
64072172748	354
64072869277	355
64080832953	356
64083030655	357
65010295242	358
65011176126	359
65032546119	360
65032927532	361
65041472416	362
65041986739	363
65042219946	364
65051837999	365
65071807152	366
65080912814	367
65080951143	368
66012953051	369
66021648856	370
66030873771	371
66032816415	372
